Time,CO2 Sensor
오전 11:58:57,418
오전 11:58:58,418
오전 11:58:59,417
오전 11:59:00,417
오전 11:59:01,417
오전 11:59:02,417
오전 11:59:03,416
오전 11:59:04,416
오전 11:59:05,415
오전 11:59:06,414
오전 11:59:07,414
오전 11:59:08,414
오전 11:59:09,414
오전 11:59:10,414
오전 11:59:11,414
오전 11:59:12,415
오전 11:59:13,415
오전 11:59:14,415
오전 11:59:15,415
오전 11:59:16,416
오전 11:59:17,416
오전 11:59:18,417
오전 11:59:19,418
오전 11:59:20,419
오전 11:59:21,419
오전 11:59:22,419
오전 11:59:23,418
오전 11:59:24,416
오전 11:59:25,415
오전 11:59:26,414
오전 11:59:27,413
오전 11:59:28,411
오전 11:59:30,411
오전 11:59:31,410
오전 11:59:32,410
오전 11:59:33,410
오전 11:59:34,410
오전 11:59:35,410
오전 11:59:36,410
오전 11:59:37,410
오전 11:59:38,410
오전 11:59:39,410
오전 11:59:40,410
오전 11:59:41,410
오전 11:59:42,410
오전 11:59:43,410
오전 11:59:44,410
오전 11:59:45,410
오전 11:59:46,410
오전 11:59:47,410
오전 11:59:48,410
오전 11:59:49,410
오전 11:59:50,410
오전 11:59:51,410
오전 11:59:52,410
오전 11:59:53,410
오전 11:59:54,410
오전 11:59:55,410
오전 11:59:56,410
오전 11:59:57,410
오전 11:59:58,410
오전 11:59:59,410
오후 12:00:00,410
오후 12:00:01,410
오후 12:00:02,410
오후 12:00:03,410
오후 12:00:04,410
오후 12:00:05,410
오후 12:00:06,410
오후 12:00:07,410
오후 12:00:08,410
오후 12:00:09,410
오후 12:00:10,410
오후 12:00:11,410
오후 12:00:12,410
오후 12:00:13,410
오후 12:00:14,410
오후 12:00:15,410
오후 12:00:16,409
오후 12:00:17,409
오후 12:00:18,409
오후 12:00:19,409
오후 12:00:20,409
오후 12:00:21,409
오후 12:00:22,409
오후 12:00:23,409
오후 12:00:24,409
오후 12:00:25,409
오후 12:00:26,409
오후 12:00:27,409
오후 12:00:28,409
오후 12:00:29,409
오후 12:00:30,409
오후 12:00:31,409
오후 12:00:32,409
오후 12:00:33,409
오후 12:00:34,409
오후 12:00:35,409
오후 12:00:36,409
오후 12:00:37,409
오후 12:00:38,409
오후 12:00:39,409
오후 12:00:40,409
오후 12:00:41,409
오후 12:00:42,409
오후 12:00:43,409
오후 12:00:44,409
오후 12:00:45,409
오후 12:00:46,409
오후 12:00:47,409
오후 12:00:48,409
오후 12:00:49,409
오후 12:00:50,409
오후 12:00:51,409
오후 12:00:52,409
오후 12:00:53,409
오후 12:00:54,409
오후 12:00:55,409
오후 12:00:56,409
오후 12:00:57,409
오후 12:00:58,409
오후 12:01:00,409
오후 12:01:01,409
오후 12:01:02,409
오후 12:01:03,409
오후 12:01:04,409
오후 12:01:05,409
오후 12:01:06,409
오후 12:01:07,409
오후 12:01:08,409
오후 12:01:09,409
오후 12:01:10,409
오후 12:01:11,409
오후 12:01:12,409
오후 12:01:13,409
오후 12:01:14,409
오후 12:01:15,409
오후 12:01:16,409
오후 12:01:17,409
오후 12:01:18,409
오후 12:01:19,409
오후 12:01:20,409
오후 12:01:21,409
오후 12:01:22,409
오후 12:01:23,409
오후 12:01:24,409
오후 12:01:25,409
오후 12:01:26,409
오후 12:01:27,409
오후 12:01:28,409
오후 12:01:29,409
오후 12:01:30,409
오후 12:01:31,410
오후 12:01:32,410
오후 12:01:33,410
오후 12:01:34,410
오후 12:01:35,410
오후 12:01:36,410
오후 12:01:37,410
오후 12:01:38,410
오후 12:01:39,410
오후 12:01:40,409
오후 12:01:41,409
오후 12:01:42,409
오후 12:01:43,409
오후 12:01:44,409
오후 12:01:45,409
오후 12:01:46,409
오후 12:01:47,409
오후 12:01:48,410
오후 12:01:49,410
오후 12:01:50,410
오후 12:01:51,410
오후 12:01:52,410
오후 12:01:53,410
오후 12:01:54,410
오후 12:01:55,410
오후 12:01:56,410
오후 12:01:57,410
오후 12:01:58,410
오후 12:01:59,410
오후 12:02:00,410
오후 12:02:01,410
오후 12:02:02,410
오후 12:02:03,410
오후 12:02:04,410
오후 12:02:05,410
오후 12:02:06,410
오후 12:02:07,410
오후 12:02:08,411
오후 12:02:09,412
오후 12:02:10,414
오후 12:02:11,416
오후 12:02:12,417
오후 12:02:13,419
오후 12:02:14,420
오후 12:02:15,422
오후 12:02:16,423
오후 12:02:17,424
오후 12:02:18,424
오후 12:02:19,424
오후 12:02:20,424
오후 12:02:21,424
오후 12:02:22,424
오후 12:02:23,424
오후 12:02:24,424
오후 12:02:25,424
오후 12:02:26,424
오후 12:02:27,424
오후 12:02:28,424
오후 12:02:29,424
오후 12:02:30,424
오후 12:02:31,424
오후 12:02:33,424
오후 12:02:34,424
오후 12:02:35,424
오후 12:02:36,424
오후 12:02:37,425
오후 12:02:38,425
오후 12:02:39,426
