Time,CO2 Sensor,,,,,,,,
오전 4:36:40,685.00,,,,,,,,
오전 4:36:41,684.00,,,,,,,,
오전 4:36:42,684.00,,,,,,,,
오전 4:36:43,684.00,,,,,,,,
오전 4:36:44,684.00,,,,,,,,
오전 4:36:45,684.00,,,,,,,,
오전 4:36:46,685.00,,,,,,,,
오전 4:36:47,685.00,,,,,,,,
오전 4:36:48,684.00,,,,,,,,
오전 4:36:49,684.00,,,,,,,,
오전 4:36:50,684.00,,,,,,,,
오전 4:36:52,683.00,,,,,,,,
오전 4:36:53,683.00,,,,,,,,
오전 4:36:54,682.00,,,,,,,,
오전 4:36:55,682.00,,,,,,,,
오전 4:36:56,682.00,,,,,,,,
오전 4:36:57,682.00,,,,,,,,
오전 4:36:58,681.00,,,,,,,,
오전 4:36:59,681.00,,,,,,,,
오전 4:37:00,681.00,,,,,,,,
오전 4:37:01,681.00,,,,,,,,
오전 4:37:02,681.00,,,,,,,,
오전 4:37:03,681.00,,,,,,,,
오전 4:37:04,681.00,,,,,,,,
오전 4:37:05,680.00,,,,,,,,
오전 4:37:06,680.00,,,,,,,,
오전 4:37:07,680.00,,,,,,,,
오전 4:37:08,680.00,,,,,,,,
오전 4:37:09,680.00,,,,,,,,
오전 4:37:10,681.00,,,,,,,,
오전 4:37:11,682.00,,,,,,,,
오전 4:37:12,683.00,,,,,,,,
오전 4:37:13,684.00,,,,,,,,
오전 4:37:14,685.00,,,,,,,,
오전 4:37:15,685.00,,,,,,,,
오전 4:37:16,684.00,,,,,,,,
오전 4:37:17,683.00,,,,,,,,
오전 4:37:18,683.00,,,,,,,,
오전 4:37:19,684.00,,,,,,,,
오전 4:37:20,685.00,,,,,,,,
오전 4:37:21,686.00,,,,,,,,
오전 4:37:22,686.00,,,,,,,,
오전 4:37:23,687.00,,,,,,,,
오전 4:37:24,687.00,,,,,,,,
오전 4:37:25,688.00,,,,,,,,
오전 4:37:26,688.00,,,,,,,,
오전 4:37:27,688.00,,,,,,,,
오전 4:37:28,688.00,,,,,,,,
오전 4:37:29,688.00,,,,,,,,
오전 4:37:30,688.00,,,,,,,,
오전 4:37:31,688.00,,,,,,,,
오전 4:37:32,688.00,,,,,,,,
오전 4:37:33,688.00,,,,,,,,
오전 4:37:34,688.00,,,,,,,,
오전 4:37:35,689.00,,,,,,,,
오전 4:37:36,689.00,,,,,,,,
오전 4:37:37,690.00,,,,,,,,
오전 4:37:38,690.00,,,,,,,,
오전 4:37:39,691.00,,,,,,,,
오전 4:37:40,692.00,,,,,,,,
오전 4:37:41,693.00,,,,,,,,
오전 4:37:42,694.00,,,,,,,,
오전 4:37:43,695.00,,,,,,,,
오전 4:37:44,695.00,,,,,,,,
오전 4:37:45,695.00,,,,,,,,
오전 4:37:46,695.00,,,,,,,,
오전 4:37:47,695.00,,,,,,,,
오전 4:37:48,695.00,,,,,,,,
오전 4:37:49,695.00,,,,,,,,
오전 4:37:50,694.00,,,,,,,,
오전 4:37:51,694.00,,,,,,,,
오전 4:37:52,694.00,,,,,,,,
오전 4:37:53,693.00,,,,,,,,
오전 4:37:54,692.00,,,,,,,,
오전 4:37:55,691.00,,,,,,,,
